account_id,entry_date,users_visited_7d,final_price,plan_size
A01,44599,1,100,10
A03,44599,30,400,50
A01,44600,3,100,10
A03,44600,39,400,50
A05,44600,14,400,50
A01,44601,12,100,10
A03,44601,44,400,50
A04,44601,25,0,70
A05,44601,32,400,50
A01,44602,17,100,10
A02,44602,82,800,100
A03,44602,60,400,50
A04,44602,72,0,70
A05,44602,45,400,50
A01,44603,26,100,10
A02,44603,102,800,100
A03,44603,76,400,50
A04,44603,115,0,70
A05,44603,50,400,50
A01,44604,28,100,10
A02,44604,181,800,100
A03,44604,104,400,50
A04,44604,140,20,70
A01,44605,29,100,10
A02,44605,235,800,100
A03,44605,113,400,50
A04,44605,154,20,70
A01,44606,34,100,10
A02,44606,305,800,100
A03,44606,117,400,50
A04,44606,195,20,70
A01,44607,38,100,10
A02,44607,389,800,100
A03,44607,127,400,50
A04,44607,253,20,70
A01,44608,35,100,10
A02,44608,412,800,100
A03,44608,143,0,50
A04,44608,276,20,70
A05,44608,31,250,20
A01,44609,38,100,10
A02,44609,400,800,100
A03,44609,172,0,50
A04,44609,276,20,70
A05,44609,26,250,20
A02,44610,310,800,100
A03,44610,186,0,50
A04,44610,239,20,70
A02,44611,142,800,100
A03,44611,189,0,50
A04,44611,228,20,70
A03,44612,191,0,50
A04,44612,264,20,70
A05,44612,25,350,30
